n,lam,beta,<H1>,<-err,\int_0^{beta} \dtau <H1(tau)H1>,<--std,\int_0^{beta} \dtau tau <H1(tau)H1>,<--std,\int_0^{beta/2} \dtau tau <H1(tau)H1>,<--std,rng,Tsteps,steps,stepsPerMeasurement,<sign>,<--std,<q>,qmax,time (s)
2,-0.11306532663316582,5.0,0.00228,0.000485126572,0.0241705615,0.00128686375,0.0603829007,0.00321710606,0.0066414347,0.000438216605,1370102282,20000000,1000000,10,1,0,0.10524,6,14.27
2,-0.09798994974874375,5.0,0.002,0.000498994974,0.0235429928,0.00134858172,0.0588357977,0.00337042726,0.00646077215,0.000456482499,1370102282,20000000,1000000,10,1,0,0.10404,6,14.27
2,-0.08291457286432169,5.0,0.00204,0.000462394675,0.0231619325,0.00136251024,0.0578615921,0.00340606117,0.00637966318,0.000479780484,1370102282,20000000,1000000,10,1,0,0.10606,6,14.25
2,-0.06783919597989962,5.0,0.00156,0.000498054045,0.0219180301,0.00114444938,0.0547950751,0.00286112345,0.0059118805,0.000379755544,1370102282,20000000,1000000,10,1,0,0.1041,6,14.25
2,-0.05276381909547734,5.0,0.00146,0.000462090587,0.0208348939,0.00115124846,0.052044239,0.00287046807,0.00549997811,0.000372313704,1370102282,20000000,1000000,10,1,0,0.10366,6,14.28
2,-0.03768844221105527,5.0,0.00062,0.000505851701,0.0230503561,0.00127321336,0.0576044497,0.00318193668,0.00613545112,0.000474650647,1370102282,20000000,1000000,10,1,0,0.10194,6,14.19
2,-0.022613065326633208,5.0,0.00146,0.000517828335,0.0217272929,0.00107375099,0.0543182322,0.00268437748,0.00546665096,0.000316069509,1370102282,20000000,1000000,10,1,0,0.10104,4,14.18
2,-0.007537688442211143,5.0,0.0002,0.000440700428,0.018935668,0.00101317185,0.04733917,0.00253292962,0.00486488221,0.000335831421,1370102282,20000000,1000000,10,1,0,0.09972,4,14.16
2,0.007537688442210921,5.0,0.00058,0.000503655712,0.0199216144,0.00106920889,0.049804036,0.00267302222,0.00502849114,0.000334139364,1370102282,20000000,1000000,10,1,0,0.09984,4,14.14
2,0.022613065326633208,5.0,-0.0008,0.000468098778,0.0216264019,0.00119728042,0.0540660047,0.00299320104,0.00573139184,0.000411296185,1370102282,20000000,1000000,10,1,0,0.10096,4,14.15
2,0.03768844221105527,5.0,-0.00076,0.000473483205,0.0217190719,0.00112182894,0.0543191204,0.00280725916,0.0057055401,0.000364357495,1370102282,20000000,1000000,10,1,0,0.10276,6,14.17
2,0.05276381909547734,5.0,-0.00176,0.000534370478,0.0219468495,0.0011893698,0.0548241281,0.0029729604,0.0058646555,0.000420587024,1370102282,20000000,1000000,10,1,0,0.10392,6,14.28
2,0.0678391959798994,5.0,-0.00118,0.000504229501,0.0237491455,0.00136886675,0.0593513062,0.00342118131,0.00653799171,0.000510463227,1370102282,20000000,1000000,10,1,0,0.10542,6,14.28
2,0.08291457286432147,5.0,-0.00184,0.000526465825,0.0220347277,0.00120961929,0.0550868191,0.00302404822,0.00598174985,0.000417273148,1370102282,20000000,1000000,10,1,0,0.10542,6,14.28
2,0.09798994974874375,5.0,-0.00226,0.000531695779,0.0237322054,0.00141253962,0.0593305136,0.00353134905,0.00664299134,0.000510849746,1370102282,20000000,1000000,10,1,0,0.10542,6,14.29
2,0.11306532663316582,5.0,-0.00304,0.000493159635,0.0239616617,0.00132408309,0.0599041543,0.00331020772,0.00676184147,0.000480500531,1370102282,20000000,1000000,10,1,0,0.1065,6,14.28
2,0.12814070351758788,5.0,-0.0034,0.000508719157,0.0243547606,0.00134482311,0.0608432583,0.00336024764,0.00701650101,0.000499301204,1370102282,20000000,1000000,10,1,0,0.10562,6,14.27
2,0.14321608040200995,5.0,-0.00278,0.000517064622,0.0248620012,0.00135764047,0.0621331088,0.00339210122,0.00703005993,0.000491825485,1370102282,20000000,1000000,10,1,0,0.10664,6,14.29
2,0.158291457286432,5.0,-0.00432,0.000549324521,0.0269369605,0.00149346534,0.0673424012,0.00373366335,0.00804021635,0.000559626606,1370102282,20000000,1000000,10,1,0,0.10758,6,14.28
2,0.1733668341708543,5.0,-0.0053,0.000562588681,0.0300286109,0.00155918933,0.0750274312,0.0038929179,0.0090759738,0.000580189378,1370102282,20000000,1000000,10,1,0,0.10798,6,14.36
2,0.18844221105527637,5.0,-0.005,0.000545150213,0.0306993097,0.00155081163,0.0767274338,0.00387650301,0.0100653397,0.000669276307,1370102282,20000000,1000000,10,1,0,0.108,6,14.29
2,0.20351758793969843,5.0,-0.00494,0.000533595819,0.0304038508,0.00150000741,0.0760096269,0.00375001854,0.00978594444,0.000616920912,1370102282,20000000,1000000,10,1,0,0.10582,4,14.26
2,0.2185929648241205,5.0,-0.00524,0.000582000428,0.0300735395,0.00167564482,0.0751838489,0.00418911205,0.00993820222,0.000712643258,1370102282,20000000,1000000,10,1,0,0.10602,4,14.25
2,0.23366834170854256,5.0,-0.00584,0.000554262055,0.0309149985,0.00161599184,0.0772874962,0.00403997959,0.0103371449,0.000678870914,1370102282,20000000,1000000,10,1,0,0.10574,4,14.27
2,0.24874371859296485,5.0,-0.00596,0.000538025544,0.0323808616,0.00169200723,0.080952154,0.00423001808,0.0110755473,0.000732287749,1370102282,20000000,1000000,10,1,0,0.10636,4,14.29
2,0.2638190954773869,5.0,-0.00692,0.00053290746,0.035448164,0.00187243578,0.0886204101,0.00468108945,0.0127911875,0.000835873601,1370102282,20000000,1000000,10,1,0,0.10664,4,14.27
2,0.278894472361809,5.0,-0.00784,0.00057082481,0.0400779939,0.00202408545,0.100194985,0.00506021362,0.0146620805,0.000921161061,1370102282,20000000,1000000,10,1,0,0.10858,4,14.31
2,0.29396984924623104,5.0,-0.00724,0.000588996833,0.0401703989,0.00183042858,0.100425997,0.00457607144,0.0150932538,0.000843337667,1370102282,20000000,1000000,10,1,0,0.11134,6,14.45
2,0.3090452261306531,5.0,-0.008,0.000629910429,0.0424445153,0.00207221164,0.106111288,0.00518052909,0.0161985819,0.00097773491,1370102282,20000000,1000000,10,1,0,0.11098,4,14.38
2,0.3241206030150754,5.0,-0.00872,0.000679480075,0.0464245351,0.00235483764,0.116061338,0.00588709411,0.0183295535,0.00115142941,1370102282,20000000,1000000,10,1,0,0.11086,4,14.44
2,0.33919597989949746,5.0,-0.0091,0.000652120422,0.0509278107,0.00242715828,0.127298877,0.00606631739,0.0204178337,0.00120411899,1370102282,20000000,1000000,10,1,0,0.11154,6,14.42
2,0.3542713567839195,5.0,-0.00968,0.00067513973,0.0511604623,0.00239787688,0.127901156,0.0059946922,0.0207843624,0.00119663859,1370102282,20000000,1000000,10,1,0,0.11338,6,14.43
2,0.3693467336683416,5.0,-0.01104,0.000682301798,0.0601716754,0.00285118634,0.150408563,0.00712612247,0.0256713307,0.00148032572,1370102282,20000000,1000000,10,1,0,0.11446,6,14.49
2,0.38442211055276365,5.0,-0.0123,0.000714199077,0.0661625583,0.00297937131,0.16542701,0.00745214929,0.0290243328,0.0015181129,1370102282,20000000,1000000,10,1,0,0.11628,6,14.43
2,0.39949748743718594,5.0,-0.01302,0.00074224126,0.0657323679,0.00296195163,0.164310315,0.00739960348,0.0290371822,0.001492447,1370102282,20000000,1000000,10,1,0,0.11872,6,14.45
2,0.414572864321608,5.0,-0.0141,0.000692153383,0.0730588469,0.00311323681,0.182626522,0.00778082869,0.0331116476,0.00165764149,1370102282,20000000,1000000,10,1,0,0.11916,6,14.69
2,0.42964824120603007,5.0,-0.01562,0.000702021178,0.0835988751,0.00336434794,0.209017775,0.00841189486,0.0388102621,0.00180633297,1370102282,20000000,1000000,10,1,0,0.12244,6,14.7
2,0.44472361809045213,5.0,-0.01736,0.000804181841,0.0954491576,0.00370273043,0.238622894,0.00925682606,0.0449749985,0.00191770492,1370102282,20000000,1000000,10,1,0,0.1226,6,14.79
2,0.4597989949748742,5.0,-0.01806,0.00079389336,0.101685268,0.00398337865,0.254192598,0.00995668312,0.0492135364,0.00209326444,1370102282,20000000,1000000,10,1,0,0.12328,6,14.73
2,0.4748743718592965,5.0,-0.01966,0.000849248191,0.113508856,0.00406913955,0.283792705,0.0101742855,0.0552377768,0.00215724133,1370102282,20000000,1000000,10,1,0,0.12678,6,14.74
2,0.48994974874371855,5.0,-0.0206,0.000800702503,0.119804785,0.00415787171,0.29953252,0.0103947855,0.0591876687,0.00227982767,1370102282,20000000,1000000,10,1,0,0.12854,6,14.79
