n,lam,beta,<rot_H1>,<-err,\int_0^{beta} \dtau <rot_H1(tau)rot_H1>,<--std,\int_0^{beta} \dtau tau <rot_H1(tau)rot_H1>,<--std,\int_0^{beta/2} \dtau tau <rot_H1(tau)rot_H1>,<--std,rng,eps,l,Tsteps,steps,stepsPerMeasurement,<sign>,<--std,<q>,qmax,time(s)
100,0.08291457286432147,20.0,-0.00201981012,0.00109207397,0.029616216,0.00271091738,0.296038865,0.0271466426,0.00625014607,0.00158187653,3026438146,None,59,100000,1000000,10,1,0,0.5917,6,10.6
100,0.09798994974874375,20.0,-0.002499765,0.00119029487,0.0308783159,0.00296019465,0.3089048,0.0297088482,0.00754974289,0.0014646367,3026438146,None,59,100000,1000000,10,1,0,0.57928,6,10.55
100,0.11306532663316582,20.0,-0.00443958264,0.00114461382,0.0289969737,0.00287485728,0.290456479,0.0288897533,0.00765220915,0.00153854587,3026438146,None,59,100000,1000000,10,1,0,0.53072,6,9.53
100,0.12814070351758788,20.0,-0.00293972364,0.00106005188,0.0280785566,0.00303625852,0.28127699,0.0306155344,0.00937046817,0.00174383653,3026438146,None,59,100000,1000000,10,1,0,0.55174,6,9.78
100,0.14321608040200995,20.0,-0.00395962776,0.00107633202,0.0259140952,0.00277355605,0.259638033,0.0278058311,0.00733578788,0.00142457001,3026438146,None,59,100000,1000000,10,1,0,0.50446,6,9.13
100,0.158291457286432,20.0,-0.00463956384,0.00111796553,0.030823423,0.00310213673,0.308246066,0.0310461356,0.00893706519,0.00156019125,3026438146,None,59,100000,1000000,10,1,0,0.52862,6,9.52
100,0.1733668341708543,20.0,-0.0043995864,0.00120236099,0.0317066483,0.00329325401,0.315715065,0.0326269019,0.0103736307,0.00192639781,3026438146,None,59,100000,1000000,10,1,0,0.56716,6,10.17
100,0.18844221105527637,20.0,-0.00463956384,0.00109253494,0.0306773612,0.0031979078,0.304929893,0.0315203424,0.0094451378,0.00179688754,3026438146,None,59,100000,1000000,10,1,0,0.56906,6,10.07
100,0.20351758793969843,20.0,-0.00651938712,0.00121935527,0.0335396923,0.00357081427,0.335268959,0.0357833006,0.0131687485,0.00222368559,3026438146,None,59,100000,1000000,10,1,0,0.54004,6,9.58
100,0.2185929648241205,20.0,-0.0065993796,0.00117328966,0.0339526768,0.00346878481,0.33940638,0.0346078179,0.0129184636,0.00243958092,3026438146,None,59,100000,1000000,10,1,0,0.5381,6,9.9
100,0.23366834170854256,20.0,-0.00941911452,0.00145489687,0.0429537373,0.00439791118,0.429036093,0.0439124903,0.0170730863,0.00334888309,3026438146,None,59,100000,1000000,10,1,0,0.62256,6,10.93
100,0.24874371859296485,20.0,-0.00907914648,0.00132941823,0.0418161166,0.00404733645,0.417162849,0.0402378747,0.0148422931,0.00242025466,3026438146,None,59,100000,1000000,10,1,0,0.61698,6,10.83
100,0.2638190954773869,20.0,-0.00913914084,0.00139285262,0.0440541566,0.00425784945,0.441038051,0.0426888436,0.0154873544,0.00242076478,3026438146,None,59,100000,1000000,10,1,0,0.61866,6,11.05
100,0.278894472361809,20.0,-0.0088991634,0.00125697416,0.0427894383,0.00394182704,0.428004701,0.0394855296,0.0149567538,0.00208667632,3026438146,None,59,100000,1000000,10,1,0,0.61754,6,10.97
100,0.29396984924623104,20.0,-0.00873917844,0.00139220673,0.0435319518,0.00448598015,0.435564171,0.0449188347,0.0180166852,0.00278690562,3026438146,None,59,100000,1000000,10,1,0,0.5944,6,10.66
100,0.3090452261306531,20.0,-0.00923913144,0.00141240773,0.0466421082,0.00457840055,0.467193406,0.0460019326,0.018373008,0.00281565459,3026438146,None,59,100000,1000000,10,1,0,0.6091,6,10.62
100,0.3241206030150754,20.0,-0.0102190393,0.00141840655,0.0481377087,0.00498888097,0.482805054,0.0501980025,0.0215567974,0.00339615102,3026438146,None,59,100000,1000000,10,1,0,0.59234,6,10.48
100,0.33919597989949746,20.0,-0.0121988532,0.00158537787,0.0526159624,0.00540326149,0.525246516,0.0539201152,0.0267920163,0.00404680233,3026438146,None,59,100000,1000000,10,1,0,0.5896,6,10.55
100,0.3542713567839195,20.0,-0.0122388494,0.00149386687,0.0571775675,0.00533163408,0.572290153,0.0533362372,0.0281772704,0.00412080893,3026438146,None,59,100000,1000000,10,1,0,0.60596,6,10.6
